Date,Netherlands,Groningen_PV,Friesland_PV,Drenthe_PV,Overijssel_PV,Flevoland_PV,Gelderland_PV,Utrecht_PV,Noord-Holland_PV,Zuid-Holland_PV,Zeeland_PV,Noord-Brabant_PV,Limburg_PV,Amsterdam,Den Haag,Rotterdam,Utrecht
12/31/2016,259.661835748792,250.934579439252,263.840399002494,241.067285382831,244.651162790698,218.016194331984,248.235294117647,284.415584415584,306.027397260274,255.450236966825,265.473145780051,256.553398058252,203.846153846154,411.805555555556,285.569620253165,291.906005221932,346.525679758308
03/31/2017,264.734299516908,251.869158878505,266.832917705736,243.619489559165,248.604651162791,221.052631578947,252.470588235294,291.688311688312,315.890410958904,260.900473933649,263.682864450128,260.679611650485,205.769230769231,430.555555555556,292.658227848101,299.477806788512,357.703927492447
06/30/2017,269.806763285024,254.672897196262,273.067331670823,247.563805104408,252.790697674419,225.910931174089,256.235294117647,297.142857142857,324.109589041096,266.113744075829,268.286445012788,265.533980582524,208.076923076923,441.666666666667,298.481012658228,310.966057441253,365.861027190332
09/30/2017,276.328502415459,262.14953271028,277.556109725686,251.972157772622,258.837209302326,232.388663967611,262.352941176471,305.194805194805,334.520547945205,273.45971563981,270.332480818414,269.660194174757,211.153846153846,459.027777777778,308.607594936709,322.454308093995,375.83081570997
12/31/2017,280.917874396135,264.719626168224,280.798004987531,255.220417633411,262.093023255814,239.473684210526,267.764705882353,311.428571428571,338.356164383562,279.383886255924,275.447570332481,274.029126213592,214.230769230769,467.013888888889,318.73417721519,331.070496083551,386.102719033233
03/31/2018,288.405797101449,268.92523364486,287.531172069825,258.236658932715,266.976744186047,244.331983805668,274.588235294118,317.402597402597,351.232876712329,287.677725118483,274.936061381074,281.067961165049,220,481.944444444444,327.594936708861,343.864229765013,395.770392749245
06/30/2018,293.719806763285,274.532710280374,292.019950124688,263.109048723898,271.627906976744,252.226720647773,278.117647058824,323.896103896104,357.534246575342,294.78672985782,280.051150895141,284.466019417476,223.076923076923,500.694444444444,337.46835443038,355.874673629243,409.063444108761
09/30/2018,301.690821256039,280.607476635514,297.007481296758,269.605568445476,278.372093023256,259.109311740891,284,332.987012987013,370.13698630137,303.317535545024,286.445012787724,291.019417475728,229.038461538462,519.097222222222,348.101265822785,373.107049608355,419.335347432024
12/31/2018,306.038647342995,282.943925233645,304.98753117207,274.477958236659,281.627906976744,266.599190283401,289.647058823529,335.064935064935,375.342465753425,308.056872037915,290.79283887468,294.660194174757,231.923076923077,525,357.46835443038,374.151436031332,427.492447129909
03/31/2019,311.352657004831,286.915887850467,306.733167082294,282.134570765661,286.744186046512,271.255060728745,293.882352941176,343.116883116883,380.547945205479,313.507109004739,297.953964194373,300.242718446602,236.346153846154,526.041666666667,359.493670886076,385.639686684073,440.181268882175
06/30/2019,314.975845410628,290.18691588785,314.214463840399,283.062645011601,287.906976744186,275.303643724696,297.411764705882,345.974025974026,386.027397260274,315.402843601896,302.557544757033,304.611650485437,239.807692307692,535.416666666667,368.354430379747,387.98955613577,448.942598187311
09/30/2019,320.531400966184,299.299065420561,320.69825436409,292.807424593968,296.511627906977,282.995951417004,302.352941176471,352.207792207792,390.41095890411,322.985781990521,307.416879795396,308.009708737864,242.5,538.888888888889,370.886075949367,393.994778067885,454.984894259819
